,type,date(yyyyMMddHHmmss),author,message,latitude,longitude, location,spam,hashtags,sentiment_score,sentiment,datetime,seconds,tokens,keywords,labels,score_fire,score_emergency,score_crime
13,mbdata,20140123170024,KronosQuoth,the only person you are destined to become is the person you decide to be.  #kronosstar #pokrally,,,,1,"['#KronosStar', '#POKRally']",0.0,1,2014-01-23 17:00:24,61224.0,"['the', 'only', 'person', 'you', 'are', 'destined', 'to', 'become', 'is', 'the', 'person', 'you', 'decide', 'to', 'be', '.', '#', 'kronosstar', '#', 'pokrally']","['person', 'destined', 'become', 'person', 'decide', 'kronosstar', 'pokrally']",[],0.0,0.0,0.0
14,mbdata,20140123170024,KronosQuoth,knowledge is being aware of what you can do. wisdom is knowing when not to do it.  #pokrally #hi,,,,1,"['#POKRally', '#HI']",0.25,1,2014-01-23 17:00:24,61224.0,"['knowledge', 'is', 'being', 'aware', 'of', 'what', 'you', 'can', 'do', '.', 'wisdom', 'is', 'knowing', 'when', 'not', 'to', 'do', 'it', '.', '#', 'pokrally', '#', 'hi']","['knowledge', 'aware', 'wisdom', 'knowing', 'pokrally']",[],0.0,0.0,0.0
15,mbdata,20140123170055,Clevvah4Evah,i want a job 80% mental 30% fiscal #pok #rally #grammar,,,,1,"['#POK', '#Rally', '#Grammar']",-0.1,0,2014-01-23 17:00:55,61255.0,"['i', 'want', 'a', 'job', '80', '%', 'mental', '30', '%', 'fiscal', '#', 'pok', '#', 'rally', '#', 'grammar']","['want', 'job', '80', '%', 'mental', '30', '%', 'fiscal', 'pok', 'rally', 'grammar']",[],0.0,0.0,0.0
16,mbdata,20140123170055,KronosQuoth,the meaning of life is to find your gift. the purpose of life is to give it away.  #pokrally #hi,,,,1,"['#POKRally', '#HI']",0.0,1,2014-01-23 17:00:55,61255.0,"['the', 'meaning', 'of', 'life', 'is', 'to', 'find', 'your', 'gift', '.', 'the', 'purpose', 'of', 'life', 'is', 'to', 'give', 'it', 'away', '.', '#', 'pokrally', '#', 'hi']","['meaning', 'life', 'find', 'gift', 'purpose', 'life', 'give', 'away', 'pokrally']",[],0.0,0.0,0.0
17,mbdata,20140123170100,rrWine,rt @abilapost pok rally set to take place in abila city park - pok leader sylvia marek has begun with opening remarks #abilapost,,,,0,['#AbilaPost'],0.0,1,2014-01-23 17:01:00,61260.0,"['rt', '@', 'abilapost', 'pok', 'rally', 'set', 'to', 'take', 'place', 'in', 'abila', 'city', 'park', '-', 'pok', 'leader', 'sylvia', 'marek', 'has', 'begun', 'with', 'opening', 'remarks', '#', 'abilapost']","['abilapost', 'pok', 'rally', 'set', 'take', 'place', 'abila', 'city', 'park', 'pok', 'leader', 'sylvia', 'marek', 'begun', 'opening', 'remarks', 'abilapost']",['crime'],0.0,0.0,30.0
18,mbdata,20140123170119,KronosQuoth,if you're going through hell keep going.  #pokrally #hi,,,,1,"['#POKRally', '#HI']",0.0,1,2014-01-23 17:01:19,61279.0,"['if', 'you', ""'re"", 'going', 'through', 'hell', 'keep', 'going', '.', '#', 'pokrally', '#', 'hi']","[""'re"", 'going', 'hell', 'keep', 'going', 'pokrally']",[],0.0,0.0,0.0
19,mbdata,20140123170119,KronosQuoth,you miss 100% of the shots you dont take.  #kronosstar #pokrally,,,,1,"['#KronosStar', '#POKRally']",0.0,1,2014-01-23 17:01:19,61279.0,"['you', 'miss', '100', '%', 'of', 'the', 'shots', 'you', 'dont', 'take', '.', '#', 'kronosstar', '#', 'pokrally']","['miss', '100', '%', 'shots', 'dont', 'take', 'kronosstar', 'pokrally']",['crime'],0.0,0.0,30.0
20,mbdata,20140123170119,KronosQuoth,you may only succeed if you desire succeeding; you may only fail if you do not mind failing.  #pokrally #hi,,,,1,"['#POKRally', '#HI']",-0.16666666666666666,0,2014-01-23 17:01:19,61279.0,"['you', 'may', 'only', 'succeed', 'if', 'you', 'desire', 'succeeding', ';', 'you', 'may', 'only', 'fail', 'if', 'you', 'do', 'not', 'mind', 'failing', '.', '#', 'pokrally', '#', 'hi']","['may', 'succeed', 'desire', 'succeeding', ';', 'may', 'fail', 'mind', 'failing', 'pokrally']",[],0.0,0.0,0.0
21,mbdata,20140123170119,KronosQuoth,i didnt fail the test. i just found 100 ways to do it wrong.  #kronosstar #pokrally,,,,1,"['#KronosStar', '#POKRally']",-0.5,0,2014-01-23 17:01:19,61279.0,"['i', 'didnt', 'fail', 'the', 'test', '.', 'i', 'just', 'found', '100', 'ways', 'to', 'do', 'it', 'wrong', '.', '#', 'kronosstar', '#', 'pokrally']","['didnt', 'fail', 'test', 'found', '100', 'ways', 'wrong', 'kronosstar', 'pokrally']",[],0.0,0.0,0.0
22,mbdata,20140123170150,KronosQuoth,"to accomplish great things, we must not only act, but also dream, not only plan, but also believe. #pokrally #hi",,,,1,"['#POKRally', '#HI']",0.26666666666666666,1,2014-01-23 17:01:50,61310.0,"['to', 'accomplish', 'great', 'things', ',', 'we', 'must', 'not', 'only', 'act', ',', 'but', 'also', 'dream', ',', 'not', 'only', 'plan', ',', 'but', 'also', 'believe', '.', '#', 'pokrally', '#', 'hi']","['accomplish', 'great', 'things', 'must', 'act', 'also', 'dream', 'plan', 'also', 'believe', 'pokrally']",[],0.0,0.0,0.0
23,mbdata,20140123170150,KronosQuoth,"thinking should become your capital asset, no matter whatever ups and downs you come across in your life.  #pokrally #hi",,,,1,"['#POKRally', '#HI']",0.0,1,2014-01-23 17:01:50,61310.0,"['thinking', 'should', 'become', 'your', 'capital', 'asset', ',', 'no', 'matter', 'whatever', 'ups', 'and', 'downs', 'you', 'come', 'across', 'in', 'your', 'life', '.', '#', 'pokrally', '#', 'hi']","['thinking', 'become', 'capital', 'asset', 'matter', 'whatever', 'ups', 'downs', 'come', 'across', 'life', 'pokrally']",[],0.0,0.0,0.0
24,mbdata,20140123170150,KronosQuoth,don't be afraid to give up the good to go for the great.  #pokrally #hi,,,,1,"['#POKRally', '#HI']",0.3,1,2014-01-23 17:01:50,61310.0,"['do', ""n't"", 'be', 'afraid', 'to', 'give', 'up', 'the', 'good', 'to', 'go', 'for', 'the', 'great', '.', '#', 'pokrally', '#', 'hi']","['afraid', 'give', 'good', 'go', 'great', 'pokrally']",[],0.0,0.0,0.0
25,mbdata,20140123170200,pinky,rt @abilapost pok rally set to take place in abila city park - pok leader sylvia marek has begun with opening remarks #abilapost,,,,0,['#AbilaPost'],0.0,1,2014-01-23 17:02:00,61320.0,"['rt', '@', 'abilapost', 'pok', 'rally', 'set', 'to', 'take', 'place', 'in', 'abila', 'city', 'park', '-', 'pok', 'leader', 'sylvia', 'marek', 'has', 'begun', 'with', 'opening', 'remarks', '#', 'abilapost']","['abilapost', 'pok', 'rally', 'set', 'take', 'place', 'abila', 'city', 'park', 'pok', 'leader', 'sylvia', 'marek', 'begun', 'opening', 'remarks', 'abilapost']",['crime'],0.0,0.0,30.0
26,mbdata,20140123170200,BlueVelvet,rt @abilapost pok rally set to take place in abila city park - pok leader sylvia marek has begun with opening remarks #abilapost,,,,0,['#AbilaPost'],0.0,1,2014-01-23 17:02:00,61320.0,"['rt', '@', 'abilapost', 'pok', 'rally', 'set', 'to', 'take', 'place', 'in', 'abila', 'city', 'park', '-', 'pok', 'leader', 'sylvia', 'marek', 'has', 'begun', 'with', 'opening', 'remarks', '#', 'abilapost']","['abilapost', 'pok', 'rally', 'set', 'take', 'place', 'abila', 'city', 'park', 'pok', 'leader', 'sylvia', 'marek', 'begun', 'opening', 'remarks', 'abilapost']",['crime'],0.0,0.0,30.0
27,mbdata,20140123170200,dragonRider1,"rt @mindofkronos ugh, these pokers are anooying! #pok #gowaway",,,,1,"['#POK', '#gowaway']",0.0,1,2014-01-23 17:02:00,61320.0,"['rt', '@', 'mindofkronos', 'ugh', ',', 'these', 'pokers', 'are', 'anooying', '!', '#', 'pok', '#', 'gowaway']","['mindofkronos', 'ugh', 'pokers', 'anooying', 'pok', 'gowaway']",[],0.0,0.0,0.0
28,ccdata,20140123170210,,traffic stop,,,N. Els St / N. Polvo St,0,[],0.0,1,2014-01-23 17:02:10,61330.0,"['traffic', 'stop']","['traffic', 'stop']",['emergency'],0.0,22.5,0.0
29,mbdata,20140123170221,Clevvah4Evah,youre the penultimate girlfriend! #pok #rally #grammar,,,,1,"['#POK', '#Rally', '#Grammar']",0.0,1,2014-01-23 17:02:21,61341.0,"['youre', 'the', 'penultimate', 'girlfriend', '!', '#', 'pok', '#', 'rally', '#', 'grammar']","['youre', 'penultimate', 'girlfriend', 'pok', 'rally', 'grammar']",[],0.0,0.0,0.0
30,mbdata,20140123170221,KronosQuoth,i am not a product of my circumstances. i am a product of my decisions.  #kronosstar #pokrally,,,,1,"['#KronosStar', '#POKRally']",0.0,1,2014-01-23 17:02:21,61341.0,"['i', 'am', 'not', 'a', 'product', 'of', 'my', 'circumstances', '.', 'i', 'am', 'a', 'product', 'of', 'my', 'decisions', '.', '#', 'kronosstar', '#', 'pokrally']","['product', 'circumstances', 'product', 'decisions', 'kronosstar', 'pokrally']",[],0.0,0.0,0.0
31,mbdata,20140123170221,KronosQuoth,"success is...knowing your purpose in life, growing to reach your maximum potential, and sowing seeds that benefit others.  #pokrally #hi",,,,1,"['#POKRally', '#HI']",0.15,1,2014-01-23 17:02:21,61341.0,"['success', 'is', '...', 'knowing', 'your', 'purpose', 'in', 'life', ',', 'growing', 'to', 'reach', 'your', 'maximum', 'potential', ',', 'and', 'sowing', 'seeds', 'that', 'benefit', 'others', '.', '#', 'pokrally', '#', 'hi']","['success', '...', 'knowing', 'purpose', 'life', 'growing', 'reach', 'maximum', 'potential', 'sowing', 'seeds', 'benefit', 'others', 'pokrally']",[],0.0,0.0,0.0
32,mbdata,20140123170221,KronosQuoth,the only person you are destined to become is the person you decide to be.  #kronosstar #pokrally,,,,1,"['#KronosStar', '#POKRally']",0.0,1,2014-01-23 17:02:21,61341.0,"['the', 'only', 'person', 'you', 'are', 'destined', 'to', 'become', 'is', 'the', 'person', 'you', 'decide', 'to', 'be', '.', '#', 'kronosstar', '#', 'pokrally']","['person', 'destined', 'become', 'person', 'decide', 'kronosstar', 'pokrally']",[],0.0,0.0,0.0
33,mbdata,20140123170231,POK,pok leader sylvia market taking the stage for a warm welcome to the crowd,,,,1,[],0.7,1,2014-01-23 17:02:31,61351.0,"['pok', 'leader', 'sylvia', 'market', 'taking', 'the', 'stage', 'for', 'a', 'warm', 'welcome', 'to', 'the', 'crowd']","['pok', 'leader', 'sylvia', 'market', 'taking', 'stage', 'warm', 'welcome', 'crowd']",[],0.0,0.0,0.0
34,mbdata,20140123170231,AbilaPost,concerns of violence surround pok rally today heavy police presence #abilapost,,,,0,['#AbilaPost'],-0.2,0,2014-01-23 17:02:31,61351.0,"['concerns', 'of', 'violence', 'surround', 'pok', 'rally', 'today', 'heavy', 'police', 'presence', '#', 'abilapost']","['concerns', 'violence', 'surround', 'pok', 'rally', 'today', 'heavy', 'police', 'presence', 'abilapost']",['crime'],0.0,0.0,60.0
35,mbdata,20140123170246,KronosQuoth,it is never too late to be what you might have been.  #kronosstar #pokrally,,,,1,"['#KronosStar', '#POKRally']",-0.3,0,2014-01-23 17:02:46,61366.0,"['it', 'is', 'never', 'too', 'late', 'to', 'be', 'what', 'you', 'might', 'have', 'been', '.', '#', 'kronosstar', '#', 'pokrally']","['never', 'late', 'might', 'kronosstar', 'pokrally']",[],0.0,0.0,0.0
36,mbdata,20140123170246,KronosQuoth,you may have to fight a battle more than once to win it.  #pokrally #hi,,,,1,"['#POKRally', '#HI']",0.65,1,2014-01-23 17:02:46,61366.0,"['you', 'may', 'have', 'to', 'fight', 'a', 'battle', 'more', 'than', 'once', 'to', 'win', 'it', '.', '#', 'pokrally', '#', 'hi']","['may', 'fight', 'battle', 'win', 'pokrally']",['emergency'],0.0,45.0,0.0
37,mbdata,20140123170246,KronosQuoth,"in order to succeed, your desire for success should be greater than your fear of failure.  #kronosstar #pokrally",,,,1,"['#KronosStar', '#POKRally']",0.16111111111111112,1,2014-01-23 17:02:46,61366.0,"['in', 'order', 'to', 'succeed', ',', 'your', 'desire', 'for', 'success', 'should', 'be', 'greater', 'than', 'your', 'fear', 'of', 'failure', '.', '#', 'kronosstar', '#', 'pokrally']","['order', 'succeed', 'desire', 'success', 'greater', 'fear', 'failure', 'kronosstar', 'pokrally']",['emergency'],0.0,22.5,0.0
38,mbdata,20140123170246,KronosQuoth,"if you want your children to turn out well, spend twice as much time with them, and half as much money.  #kronosstar #pokrally",,,,1,"['#KronosStar', '#POKRally']",0.07777777777777779,1,2014-01-23 17:02:46,61366.0,"['if', 'you', 'want', 'your', 'children', 'to', 'turn', 'out', 'well', ',', 'spend', 'twice', 'as', 'much', 'time', 'with', 'them', ',', 'and', 'half', 'as', 'much', 'money', '.', '#', 'kronosstar', '#', 'pokrally']","['want', 'children', 'turn', 'well', 'spend', 'twice', 'much', 'time', 'half', 'much', 'money', 'kronosstar', 'pokrally']",[],0.0,0.0,0.0
39,mbdata,20140123170300,blueSunshine,rt @abilapost pok rally set to take place in abila city park - pok leader sylvia marek has begun with opening remarks #abilapost,,,,0,['#AbilaPost'],0.0,1,2014-01-23 17:03:00,61380.0,"['rt', '@', 'abilapost', 'pok', 'rally', 'set', 'to', 'take', 'place', 'in', 'abila', 'city', 'park', '-', 'pok', 'leader', 'sylvia', 'marek', 'has', 'begun', 'with', 'opening', 'remarks', '#', 'abilapost']","['abilapost', 'pok', 'rally', 'set', 'take', 'place', 'abila', 'city', 'park', 'pok', 'leader', 'sylvia', 'marek', 'begun', 'opening', 'remarks', 'abilapost']",['crime'],0.0,0.0,30.0
40,mbdata,20140123170300,dtennent,rt @abilapost pok rally set to take place in abila city park - pok leader sylvia marek has begun with opening remarks #abilapost,,,,0,['#AbilaPost'],0.0,1,2014-01-23 17:03:00,61380.0,"['rt', '@', 'abilapost', 'pok', 'rally', 'set', 'to', 'take', 'place', 'in', 'abila', 'city', 'park', '-', 'pok', 'leader', 'sylvia', 'marek', 'has', 'begun', 'with', 'opening', 'remarks', '#', 'abilapost']","['abilapost', 'pok', 'rally', 'set', 'take', 'place', 'abila', 'city', 'park', 'pok', 'leader', 'sylvia', 'marek', 'begun', 'opening', 'remarks', 'abilapost']",['crime'],0.0,0.0,30.0
41,mbdata,20140123170300,BlueVelvet,rt @abilapost pok rally set to take place in abila city park - pok leader sylvia marek has begun with opening remarks #abilapost,,,,0,['#AbilaPost'],0.0,1,2014-01-23 17:03:00,61380.0,"['rt', '@', 'abilapost', 'pok', 'rally', 'set', 'to', 'take', 'place', 'in', 'abila', 'city', 'park', '-', 'pok', 'leader', 'sylvia', 'marek', 'has', 'begun', 'with', 'opening', 'remarks', '#', 'abilapost']","['abilapost', 'pok', 'rally', 'set', 'take', 'place', 'abila', 'city', 'park', 'pok', 'leader', 'sylvia', 'marek', 'begun', 'opening', 'remarks', 'abilapost']",['crime'],0.0,0.0,30.0
42,mbdata,20140123170316,KronosQuoth,its not the years in your life that count. its the life in your years.  #kronosstar #pokrally,,,,1,"['#KronosStar', '#POKRally']",0.0,1,2014-01-23 17:03:16,61396.0,"['its', 'not', 'the', 'years', 'in', 'your', 'life', 'that', 'count', '.', 'its', 'the', 'life', 'in', 'your', 'years', '.', '#', 'kronosstar', '#', 'pokrally']","['years', 'life', 'count', 'life', 'years', 'kronosstar', 'pokrally']",[],0.0,0.0,0.0
43,mbdata,20140123170316,KronosQuoth,"if you don't value your time, neither will others. stop giving away your time and talents- start charging for it.  #pokrally #hi",,,,1,"['#POKRally', '#HI']",0.0,1,2014-01-23 17:03:16,61396.0,"['if', 'you', 'do', ""n't"", 'value', 'your', 'time', ',', 'neither', 'will', 'others', '.', 'stop', 'giving', 'away', 'your', 'time', 'and', 'talents-', 'start', 'charging', 'for', 'it', '.', '#', 'pokrally', '#', 'hi']","['value', 'time', 'neither', 'others', 'stop', 'giving', 'away', 'time', 'talents-', 'start', 'charging', 'pokrally']",[],0.0,0.0,0.0
44,mbdata,20140123170331,klingon4real,rt @abilapost concerns of violence surround pok rally today heavy police presence #abilapost,,,,0,['#AbilaPost'],-0.2,0,2014-01-23 17:03:31,61411.0,"['rt', '@', 'abilapost', 'concerns', 'of', 'violence', 'surround', 'pok', 'rally', 'today', 'heavy', 'police', 'presence', '#', 'abilapost']","['abilapost', 'concerns', 'violence', 'surround', 'pok', 'rally', 'today', 'heavy', 'police', 'presence', 'abilapost']",['crime'],0.0,0.0,60.0
45,mbdata,20140123170338,KronosQuoth,"if you don't value your time, neither will others. stop giving away your time and talents- start charging for it.  #pokrally #hi",,,,1,"['#POKRally', '#HI']",0.0,1,2014-01-23 17:03:38,61418.0,"['if', 'you', 'do', ""n't"", 'value', 'your', 'time', ',', 'neither', 'will', 'others', '.', 'stop', 'giving', 'away', 'your', 'time', 'and', 'talents-', 'start', 'charging', 'for', 'it', '.', '#', 'pokrally', '#', 'hi']","['value', 'time', 'neither', 'others', 'stop', 'giving', 'away', 'time', 'talents-', 'start', 'charging', 'pokrally']",[],0.0,0.0,0.0
46,mbdata,20140123170344,POK,sylvia marek is introducing the guests,,,,1,[],0.0,1,2014-01-23 17:03:44,61424.0,"['sylvia', 'marek', 'is', 'introducing', 'the', 'guests']","['sylvia', 'marek', 'introducing', 'guests']",[],0.0,0.0,0.0
47,mbdata,20140123170344,CentralBulletin,pok rally today in abila city park concerns of violence and heavy police presence #abila #centralbulletin,,,,0,"['#Abila', '#CentralBulletin']",-0.2,0,2014-01-23 17:03:44,61424.0,"['pok', 'rally', 'today', 'in', 'abila', 'city', 'park', 'concerns', 'of', 'violence', 'and', 'heavy', 'police', 'presence', '#', 'abila', '#', 'centralbulletin']","['pok', 'rally', 'today', 'abila', 'city', 'park', 'concerns', 'violence', 'heavy', 'police', 'presence', 'abila', 'centralbulletin']",['crime'],0.0,0.0,60.0
48,mbdata,20140123170344,choconibbs,marek - terrorist introducing more terrorists #pokrally,,,,1,['#POKRally'],0.5,1,2014-01-23 17:03:44,61424.0,"['marek', '-', 'terrorist', 'introducing', 'more', 'terrorists', '#', 'pokrally']","['marek', 'terrorist', 'introducing', 'terrorists', 'pokrally']",['crime'],0.0,0.0,120.0
49,mbdata,20140123170344,FriendsOfKronos,how long until pok terrorists start destroying the park,,,,1,[],-0.125,0,2014-01-23 17:03:44,61424.0,"['how', 'long', 'until', 'pok', 'terrorists', 'start', 'destroying', 'the', 'park']","['long', 'pok', 'terrorists', 'start', 'destroying', 'park']",['crime'],0.0,0.0,60.0
50,mbdata,20140123170400,sarajane,rt @abilapost pok rally set to take place in abila city park - pok leader sylvia marek has begun with opening remarks #abilapost,,,,0,['#AbilaPost'],0.0,1,2014-01-23 17:04:00,61440.0,"['rt', '@', 'abilapost', 'pok', 'rally', 'set', 'to', 'take', 'place', 'in', 'abila', 'city', 'park', '-', 'pok', 'leader', 'sylvia', 'marek', 'has', 'begun', 'with', 'opening', 'remarks', '#', 'abilapost']","['abilapost', 'pok', 'rally', 'set', 'take', 'place', 'abila', 'city', 'park', 'pok', 'leader', 'sylvia', 'marek', 'begun', 'opening', 'remarks', 'abilapost']",['crime'],0.0,0.0,30.0
51,mbdata,20140123170400,wiseWords,rt @ourcountryourrights pok rally in the park tonight! #pokrally,,,,0,['#POKrally'],0.0,1,2014-01-23 17:04:00,61440.0,"['rt', '@', 'ourcountryourrights', 'pok', 'rally', 'in', 'the', 'park', 'tonight', '!', '#', 'pokrally']","['ourcountryourrights', 'pok', 'rally', 'park', 'tonight', 'pokrally']",[],0.0,0.0,0.0
52,mbdata,20140123170403,KronosQuoth,the secret of the universe depends on intrinsic timelessness #pokrally #hi,,,,1,"['#POKRally', '#HI']",-0.4,0,2014-01-23 17:04:03,61443.0,"['the', 'secret', 'of', 'the', 'universe', 'depends', 'on', 'intrinsic', 'timelessness', '#', 'pokrally', '#', 'hi']","['secret', 'universe', 'depends', 'intrinsic', 'timelessness', 'pokrally']",[],0.0,0.0,0.0
53,mbdata,20140123170433,KronosQuoth,"the function of leadership is to produce more leaders, not more followers.  #pokrally #hi",,,,1,"['#POKRally', '#HI']",0.125,1,2014-01-23 17:04:33,61473.0,"['the', 'function', 'of', 'leadership', 'is', 'to', 'produce', 'more', 'leaders', ',', 'not', 'more', 'followers', '.', '#', 'pokrally', '#', 'hi']","['function', 'leadership', 'produce', 'leaders', 'followers', 'pokrally']",[],0.0,0.0,0.0
54,mbdata,20140123170444,phantomagate,rt @centralbulletin pok rally today in abila city park concerns of violence and heavy police presence #abila #centralbulletin,,,,0,"['#Abila', '#CentralBulletin']",-0.2,0,2014-01-23 17:04:44,61484.0,"['rt', '@', 'centralbulletin', 'pok', 'rally', 'today', 'in', 'abila', 'city', 'park', 'concerns', 'of', 'violence', 'and', 'heavy', 'police', 'presence', '#', 'abila', '#', 'centralbulletin']","['centralbulletin', 'pok', 'rally', 'today', 'abila', 'city', 'park', 'concerns', 'violence', 'heavy', 'police', 'presence', 'abila', 'centralbulletin']",['crime'],0.0,0.0,60.0
55,mbdata,20140123170459,KronosQuoth,"it's not what you look at that matters, it's what you see.  #pokrally #hi",,,,1,"['#POKRally', '#HI']",0.0,1,2014-01-23 17:04:59,61499.0,"['it', ""'s"", 'not', 'what', 'you', 'look', 'at', 'that', 'matters', ',', 'it', ""'s"", 'what', 'you', 'see', '.', '#', 'pokrally', '#', 'hi']","['look', 'matters', 'see', 'pokrally']",[],0.0,0.0,0.0
56,mbdata,20140123170459,KronosQuoth,"if you don't value your time, neither will others. stop giving away your time and talents- start charging for it.  #pokrally #hi",,,,1,"['#POKRally', '#HI']",0.0,1,2014-01-23 17:04:59,61499.0,"['if', 'you', 'do', ""n't"", 'value', 'your', 'time', ',', 'neither', 'will', 'others', '.', 'stop', 'giving', 'away', 'your', 'time', 'and', 'talents-', 'start', 'charging', 'for', 'it', '.', '#', 'pokrally', '#', 'hi']","['value', 'time', 'neither', 'others', 'stop', 'giving', 'away', 'time', 'talents-', 'start', 'charging', 'pokrally']",[],0.0,0.0,0.0
57,mbdata,20140123170513,Viktor-E,meet the band after the show tonight!,,,,1,[],0.0,1,2014-01-23 17:05:13,61513.0,"['meet', 'the', 'band', 'after', 'the', 'show', 'tonight', '!']","['meet', 'band', 'show', 'tonight']",[],0.0,0.0,0.0
